Network	Method	Setup	Loading time	Preprocessing time	Walking time	Training time	Total time	Total time in second	Maximum resident size
SSN200	pecanpy-PreComp	Multi	-	-	-	-	1:24:50.00	5090.00	182.2GB
SSN200	pecanpy-SparseOTF	Multi	03:24.12	0.00	33:48.12	18:09.47	55:31.35	3331.35	10.7GB
SSN200	pecanpy-DenseOTF	Multi	-	-	-	-	1.28	1.28	109.2MB
SSN200  nodevectors Multi   -   -   -   -   57.17   57.17   6.3GB
SSN200	orig-py	Single	-	-	-	-	16.31	16.31	69.5MB
SSN200	orig-cpp	Single	-	-	-	-	0.20	0.20	1.9MB
SSN200	pecanpy-PreComp	Single	-	-	-	-	3:45.99	225.99	32.0GB
SSN200	pecanpy-SparseOTF	Single	04:00.10	0.00	39:26.41	03:12:38.58	3:56:11.00	14171.00	10.7GB
SSN200	pecanpy-DenseOTF	Single	-	-	-	-	2.57	2.57	109.4MB
SSN200  nodevectors Single  -   -   -   -   51.39   51.39   6.3GB
STRING	orig-py	Multi	01:00.22	04:44:11.35	45:34.18	21.53	5:31:41.00	19901.00	112.1GB
STRING	orig-cpp	Multi	6.00	03:20.00	2.00	01:48.00	5:44.24	344.24	80.9GB
STRING	pecanpy-PreComp	Multi	8.38	37.29	6.31	18.02	1:11.74	71.74	80.1GB
STRING	pecanpy-SparseOTF	Multi	8.47	0.00	46.86	18.12	1:14.98	74.98	560.3MB
STRING	pecanpy-DenseOTF	Multi	3.80	0.00	01:03.82	19.33	1:28.42	88.42	2.9GB
STRING  nodevectors Multi   2.01    0.00    11:39.94    12.38   11:58.21    718.21  1.3GB
STRING	orig-py	Single	-	-	-	-	2:04:38.00	7478.00	32.0GB
STRING	orig-cpp	Single	-	-	-	-	48.89	48.89	32.0GB
STRING	pecanpy-PreComp	Single	-	-	-	-	29.84	29.84	32.0GB
STRING	pecanpy-SparseOTF	Single	10.44	0.00	02:13.42	03:39.82	6:06.03	366.03	561.0MB
STRING	pecanpy-DenseOTF	Single	4.17	0.00	20:52.40	02:43.73	23:43.21	1423.21	2.9GB
STRING  nodevectors Single  1.99    0.00    20:33.65    25.24   21:06.96    1266.96 1.3GB
Wikipedia	orig-py	Multi	2.33	03:27.54	04:31.34	5.89	8:12.34	492.34	1.9GB
Wikipedia	orig-cpp	Multi	0.00	2.00	0.00	39.00	41.73	41.73	1.2GB
Wikipedia	pecanpy-PreComp	Multi	0.36	4.20	3.98	6.22	16.06	16.06	1.4GB
Wikipedia	pecanpy-SparseOTF	Multi	0.33	0.00	15.56	5.52	22.75	22.75	262.3MB
Wikipedia	pecanpy-DenseOTF	Multi	0.39	0.00	14.38	5.71	22.19	22.19	419.7MB
Wikipedia   nodevectors Multi   0.43    0.00    45:14.11    3.23    45:23.58    2723.58 482.2MB
Wikipedia	orig-py	Single	2.79	04:34.85	05:31.11	30.73	10:56.31	656.31	1.9GB
Wikipedia	orig-cpp	Single	1.00	18.00	2.00	01:13.00	1:34.02	94.02	1.2GB
Wikipedia	pecanpy-PreComp	Single	0.43	14.85	5.46	33.62	56.60	56.60	1.3GB
Wikipedia	pecanpy-SparseOTF	Single	0.44	0.00	42.40	33.93	1:18.98	78.98	230.1MB
Wikipedia	pecanpy-DenseOTF	Single	0.55	0.00	02:35.32	33.05	3:12.61	192.61	394.8MB
Wikipedia   nodevectors Single  0.54    0.00    19:19.51    7.73    19:33.17    1173.17 467.0MB
