auROC	Network	Method	Index
0.6921768154882786	BlogCatalog	pecanpy-PreComp	26
0.8354944206279159	BlogCatalog	pecanpy-PreComp	27
0.8501912145115448	BlogCatalog	pecanpy-PreComp	28
0.7018677885733887	BlogCatalog	pecanpy-PreComp	29
0.6843539080503419	BlogCatalog	pecanpy-PreComp	30
0.7461721577389422	BlogCatalog	pecanpy-PreComp	31
0.91124236084631	BlogCatalog	pecanpy-PreComp	32
0.6721452537823329	BlogCatalog	pecanpy-PreComp	33
0.6020275013615314	BlogCatalog	pecanpy-PreComp	34
0.7023193050337121	BlogCatalog	pecanpy-PreComp	35
0.8535248579754511	BlogCatalog	pecanpy-PreComp	36
0.7997676630141132	BlogCatalog	pecanpy-PreComp	37
0.5545474619681954	BlogCatalog	pecanpy-SparseOTF	0
0.8148485162339965	BlogCatalog	pecanpy-SparseOTF	1
0.7918747238713528	BlogCatalog	pecanpy-SparseOTF	2
0.6383294189694356	BlogCatalog	pecanpy-SparseOTF	3
0.7825080587077858	BlogCatalog	pecanpy-SparseOTF	4
0.7657505928618418	BlogCatalog	pecanpy-SparseOTF	5
0.9343897376609723	BlogCatalog	pecanpy-SparseOTF	6
0.7960583946887144	BlogCatalog	pecanpy-SparseOTF	7
0.7539957798503044	BlogCatalog	pecanpy-SparseOTF	8
0.8254923811803188	BlogCatalog	pecanpy-SparseOTF	9
0.859520415828858	BlogCatalog	pecanpy-SparseOTF	10
0.7391757067676494	BlogCatalog	pecanpy-SparseOTF	11
0.7345235697558709	BlogCatalog	pecanpy-SparseOTF	12
0.7821755434154067	BlogCatalog	pecanpy-SparseOTF	13
0.74542113787563	BlogCatalog	pecanpy-SparseOTF	14
0.7188178791576251	BlogCatalog	pecanpy-SparseOTF	15
0.738560780677314	BlogCatalog	pecanpy-SparseOTF	16
0.6080314133566264	BlogCatalog	pecanpy-SparseOTF	17
0.7590902039689407	BlogCatalog	pecanpy-SparseOTF	18
0.7740248022825108	BlogCatalog	pecanpy-SparseOTF	19
0.8759483142381856	BlogCatalog	pecanpy-SparseOTF	20
0.6809327493451689	BlogCatalog	pecanpy-SparseOTF	21
0.7284433863412229	BlogCatalog	pecanpy-SparseOTF	22
0.873232998046365	BlogCatalog	pecanpy-SparseOTF	23
0.7196285588283357	BlogCatalog	pecanpy-SparseOTF	24
0.6740792385234097	BlogCatalog	pecanpy-SparseOTF	25
0.6862860207662906	BlogCatalog	pecanpy-SparseOTF	26
0.8171828373891481	BlogCatalog	pecanpy-SparseOTF	27
0.8539374335625094	BlogCatalog	pecanpy-SparseOTF	28
0.7179628974366465	BlogCatalog	pecanpy-SparseOTF	29
0.6916767431681321	BlogCatalog	pecanpy-SparseOTF	30
0.7533639072673053	BlogCatalog	pecanpy-SparseOTF	31
0.9216139869941153	BlogCatalog	pecanpy-SparseOTF	32
0.7110569180087848	BlogCatalog	pecanpy-SparseOTF	33
0.6514161501241905	BlogCatalog	pecanpy-SparseOTF	34
0.6750741982427789	BlogCatalog	pecanpy-SparseOTF	35
0.8548659965266536	BlogCatalog	pecanpy-SparseOTF	36
0.7481780457757894	BlogCatalog	pecanpy-SparseOTF	37
0.5788696320630283	BlogCatalog	pecanpy-DenseOTF	0
